date,country,iso3,total_articles,gpr_articles,country_gpr_articles,raw_share,index
2025-03-01,Canada,CAN,560,45,45,0.08035714285714286,77.10986486110158
2025-03-02,Canada,CAN,241,27,27,0.11203319502074689,107.50586968186778
2025-03-03,Canada,CAN,612,71,71,0.11601307189542484,111.32491746105298
2025-03-04,Canada,CAN,619,86,86,0.13893376413570274,133.31937144895537
2025-03-05,Canada,CAN,688,70,70,0.10174418604651163,97.63264543136893
2025-03-06,Canada,CAN,667,74,74,0.11094452773613193,106.4611960634366
2025-03-07,Canada,CAN,657,73,73,0.1111111111111111,106.62104770917749
2025-03-08,Canada,CAN,534,67,67,0.1254681647940075,120.39792466036334
2025-03-09,Canada,CAN,253,32,32,0.12648221343873517,121.37099502072377
2025-03-10,Canada,CAN,592,74,74,0.125,119.94867867282468
2025-03-11,Canada,CAN,629,70,70,0.11128775834658187,106.79055652906489
2025-03-12,Canada,CAN,700,63,63,0.09,86.36304864443376
2025-03-13,Canada,CAN,643,66,66,0.1026438569206843,98.49596009214842
2025-03-14,Canada,CAN,691,77,77,0.11143270622286541,106.92964697895803
2025-03-15,Canada,CAN,595,54,54,0.0907563025210084,87.08878854900884
2025-03-16,Canada,CAN,257,31,31,0.12062256809338522,115.74814128739501
2025-03-17,Canada,CAN,639,57,57,0.0892018779342723,85.59717914680446
2025-03-18,Canada,CAN,598,96,96,0.1605351170568562,154.04780137245712
2025-03-19,Canada,CAN,680,66,66,0.09705882352941177,93.13662108713446
2025-03-20,Canada,CAN,682,75,75,0.10997067448680352,105.52669677961116
2025-03-21,Canada,CAN,659,64,64,0.09711684370257967,93.19229663199732
2025-03-22,Canada,CAN,541,49,49,0.09057301293900184,86.91290580359939
2025-03-23,Canada,CAN,228,30,30,0.13157894736842105,126.26176702402596
2025-03-24,Canada,CAN,592,61,61,0.10304054054054054,98.8766135005717
